First Name,Last Name,Email,Country,Application Date,Yoe,Seniority,Technology,Code Challenge Score,Technical Interview Score
Christina,Rojas,staceyprice@example.com,Ecuador,2020-08-09,14,Senior,C++,4.8,2.8
Amanda,Sherman,austinleslie@example.org,USA,2023-02-28,14,Junior,Python,2.5,8.8
Scott,Gordon,jennifer41@example.com,Ecuador,2021-10-04,6,Junior,JavaScript,7.2,1.0
Lisa,Daniels,madisonhill@example.net,Mexico,2022-12-22,12,Senior,JavaScript,6.6,1.1
Jimmy,Oliver,millerkylie@example.net,Ecuador,2022-11-21,13,Junior,C++,5.7,8.5
Pamela,Collins,coreysmith@example.net,Mexico,2020-04-26,10,Junior,C++,4.2,7.1
Whitney,Sims,pkim@example.net,Argentina,2021-08-26,4,Senior,JavaScript,0.2,9.9
Keith,Reyes,kathleen38@example.org,Argentina,2022-02-10,8,Junior,JavaScript,3.5,6.7
Natalie,Lane,cshort@example.net,USA,2021-02-16,10,Mid,Data Engineering,1.8,0.0
Thomas,Davis,griffinmary@example.net,Ecuador,2024-03-30,15,Senior,JavaScript,0.3,9.8
Diane,Perkins,mccannkevin@example.org,Mexico,2023-04-16,0,Lead,Data Engineering,0.4,4.2
Richard,Stewart,jchen@example.com,Brazil,2021-05-31,11,Mid,Python,1.9,8.5
Ryan,Anderson,bryanmichelle@example.org,Colombia,2022-11-22,2,Senior,Data Engineering,8.2,0.6
Carl,Myers,thomaskhan@example.com,Brazil,2020-07-29,13,Junior,Data Engineering,3.0,9.5
Joshua,Greene,michaelanderson@example.org,Mexico,2021-01-17,12,Mid,SQL,6.4,4.7
Patrick,Wilson,christinaperry@example.org,USA,2023-11-30,9,Junior,SQL,8.6,1.3
Amber,Rodriguez,bryan17@example.com,Argentina,2022-07-06,2,Lead,Java,1.4,8.2
Gregory,Ortiz,karenpearson@example.org,Colombia,2022-03-11,4,Mid,Java,9.2,8.7
Tyler,Contreras,justinadams@example.net,Argentina,2020-03-22,4,Lead,JavaScript,4.2,5.8
Yesenia,Wolfe,hsmith@example.net,Ecuador,2020-08-02,12,Senior,C++,0.7,4.1
Timothy,Sherman,adam39@example.net,USA,2023-01-09,11,Senior,Java,5.7,3.3
Tara,Phillips,qhayes@example.org,Argentina,2024-05-02,4,Lead,Java,2.8,2.1
Patty,Waters,kellydiaz@example.com,Colombia,2023-12-20,14,Mid,SQL,5.7,4.1
Ronald,Johnson,monicasmith@example.net,Argentina,2022-10-01,14,Junior,Python,8.8,2.7
Kelli,Jordan,veronicastephens@example.net,Colombia,2020-08-12,3,Senior,SQL,0.7,4.7
Andrew,Short,joshuaferguson@example.net,Argentina,2020-01-20,5,Senior,Data Engineering,3.1,5.1
Brian,Smith,cynthiaclark@example.net,Colombia,2022-01-27,3,Mid,Python,2.7,3.3
Tina,Duncan,davidramos@example.net,Mexico,2022-09-14,0,Senior,Java,6.1,0.2
Timothy,Johnson,jason37@example.org,Mexico,2020-05-17,4,Senior,Data Engineering,6.2,9.9
Teresa,Martinez,robert97@example.org,Brazil,2024-12-23,3,Junior,Python,4.9,9.5
Susan,Clark,mmcdaniel@example.org,Colombia,2021-07-13,0,Mid,Data Engineering,1.9,8.5
Jerry,Smith,mgoodwin@example.org,Brazil,2023-06-21,12,Mid,Python,4.9,1.1
Erika,Kim,madison74@example.org,Mexico,2023-11-29,7,Junior,Java,8.9,4.4
Timothy,Wolf,zwilkinson@example.net,USA,2022-05-20,4,Junior,C++,4.8,4.3
Cody,Bryan,holderbryan@example.net,Colombia,2024-10-20,15,Mid,SQL,1.7,9.6
Katherine,Livingston,mfloyd@example.net,Argentina,2021-05-30,2,Lead,Data Engineering,9.5,8.6
Reginald,Smith,carpenterelizabeth@example.org,Argentina,2020-06-22,12,Mid,C++,6.7,2.3
Katherine,Lester,terrydouglas@example.net,USA,2020-11-11,4,Lead,Data Engineering,3.3,5.7
Donald,Hurley,wattsbenjamin@example.net,USA,2020-07-26,6,Lead,SQL,5.5,9.9
Cynthia,Robinson,ojordan@example.org,Colombia,2024-11-04,7,Lead,Data Engineering,5.2,1.9
Ashley,Thomas,amber40@example.org,Brazil,2024-03-04,12,Mid,C++,5.5,9.7
Samantha,Hinton,robinmaldonado@example.org,USA,2021-12-14,11,Mid,Java,9.3,5.5
Barbara,Rivera,robert81@example.org,Mexico,2021-10-07,3,Junior,JavaScript,1.1,7.5
Kimberly,Johnston,coxbrian@example.org,Mexico,2021-01-02,13,Junior,Python,1.4,2.3
Latoya,Huff,twalker@example.org,Mexico,2024-08-06,0,Lead,JavaScript,1.8,4.0
Melanie,Wilson,juan97@example.org,USA,2023-05-20,2,Senior,C++,8.7,3.4
Thomas,Mendez,froberts@example.net,Mexico,2022-02-11,12,Mid,Java,1.5,7.5
Megan,Walker,joshua22@example.com,Colombia,2021-05-31,2,Lead,JavaScript,3.5,1.2
William,Morrison,dmaldonado@example.com,Ecuador,2021-01-27,7,Senior,Data Engineering,7.4,6.3
Michelle,Hobbs,jessica38@example.com,Colombia,2022-05-15,3,Senior,SQL,0.2,8.3
Pedro,Conway,michaelhudson@example.net,Ecuador,2023-01-25,7,Mid,C++,4.5,6.1
Anthony,Gordon,mccormicklinda@example.net,USA,2024-01-14,2,Senior,Java,1.1,3.8
Linda,Clark,brownkelsey@example.net,Ecuador,2021-08-14,15,Junior,Data Engineering,1.1,1.6
Brian,Booker,chloe49@example.net,Colombia,2023-08-26,14,Junior,Python,1.0,7.5
Christie,Cruz,april95@example.net,Argentina,2024-08-24,0,Junior,SQL,6.2,9.9
Paul,Valencia,kelli29@example.net,Colombia,2024-08-30,6,Junior,Python,9.9,5.0
Jared,Dickerson,jameslopez@example.org,Ecuador,2023-10-28,12,Mid,Python,5.8,1.7
Nathaniel,Chan,wgraham@example.com,Ecuador,2024-01-01,0,Senior,Data Engineering,3.9,1.1
Anthony,Brewer,whitneyleach@example.org,USA,2023-09-07,13,Junior,SQL,8.7,8.6
Gary,Morgan,dale49@example.net,Ecuador,2020-06-16,14,Lead,JavaScript,5.8,7.1
David,Adams,theresamitchell@example.com,Ecuador,2021-10-02,12,Mid,JavaScript,5.9,7.7
Albert,Roy,barretttanya@example.org,USA,2020-03-12,0,Senior,Data Engineering,6.5,8.8
Glenda,Ware,margaretfischer@example.net,Ecuador,2022-01-15,7,Mid,Python,2.1,3.0
Lisa,Smith,hbrooks@example.net,Argentina,2024-03-08,10,Junior,SQL,4.3,2.6
Cheryl,Fowler,ehenderson@example.org,Colombia,2020-03-04,6,Junior,Python,8.6,9.4
Laura,Roberts,osbornerodney@example.org,USA,2020-04-03,7,Mid,C++,6.6,8.6
Wendy,Jennings,ericathomas@example.net,Argentina,2021-06-24,11,Junior,JavaScript,4.2,0.6
Heather,Johnson,krausekelly@example.net,USA,2020-12-28,14,Lead,Java,5.5,7.6
Deanna,Davis,garciasuzanne@example.net,Argentina,2024-11-01,4,Senior,SQL,2.0,7.8
Susan,Spencer,rebeccacarter@example.org,USA,2020-04-20,7,Junior,JavaScript,4.6,0.3
Christine,Ramirez,kristin79@example.net,Colombia,2023-10-22,5,Lead,JavaScript,7.7,7.8
Robert,Henderson,amanda07@example.org,USA,2023-08-16,2,Mid,C++,3.6,5.9
Phillip,Clayton,mschultz@example.com,Ecuador,2020-01-04,9,Senior,Data Engineering,3.9,3.7
Richard,Meyer,hjohnson@example.net,Colombia,2023-04-25,12,Junior,Python,6.0,9.0
Elizabeth,Myers,brittanyjackson@example.org,Mexico,2022-02-24,8,Junior,Python,6.6,8.9
Patty,Gould,thomas33@example.org,USA,2021-10-22,4,Senior,Data Engineering,1.2,7.2
Larry,Peterson,vfuller@example.net,Ecuador,2023-09-09,15,Senior,Data Engineering,3.8,3.3
John,Henderson,douglasmaddox@example.net,Brazil,2022-10-08,13,Senior,Java,3.4,0.2
Cynthia,Irwin,craigcasey@example.com,Argentina,2023-04-08,7,Junior,Data Engineering,1.5,2.0
Frederick,Hoffman,tina78@example.net,Brazil,2024-03-23,12,Senior,JavaScript,7.2,9.1
Nicholas,Howell,stephanie96@example.net,Mexico,2022-10-18,2,Mid,Data Engineering,6.5,2.1
John,Gallagher,ygomez@example.com,Colombia,2021-01-02,12,Mid,Python,4.1,4.0
Holly,Anderson,kimberly32@example.com,Brazil,2022-08-02,5,Junior,Data Engineering,7.8,0.6
Ivan,Hill,harristeresa@example.org,Colombia,2023-05-24,14,Senior,SQL,5.5,2.6
Jason,Kim,rosevanessa@example.com,Mexico,2022-10-23,15,Lead,SQL,6.3,5.0
Jennifer,Bell,nday@example.org,Mexico,2023-10-20,4,Senior,C++,1.8,3.9
Robyn,Allen,justinrice@example.net,Argentina,2022-09-26,11,Junior,Python,4.5,5.1
Amy,Porter,jacquelinebrown@example.org,Colombia,2021-07-19,1,Lead,Java,9.6,1.5
Lisa,Lee,llong@example.org,Brazil,2024-12-06,1,Junior,Data Engineering,1.1,0.9
Ana,Parsons,zjohnson@example.net,Brazil,2022-04-19,0,Senior,Python,3.8,1.5
Pamela,Cabrera,christopherclarke@example.com,Colombia,2020-11-03,7,Mid,Java,7.8,4.0
Louis,Knapp,ortegapaul@example.org,Colombia,2020-07-24,7,Senior,JavaScript,1.5,3.2
Melissa,Bowers,christinawilson@example.com,Mexico,2022-06-30,7,Senior,JavaScript,2.1,9.8
Jessica,Ramos,danielpeters@example.org,Brazil,2023-09-01,5,Senior,SQL,6.6,3.2
Cynthia,Brown,cheryl53@example.org,Colombia,2020-01-04,12,Mid,Data Engineering,5.3,1.7
Robert,Jones,monroenicholas@example.net,USA,2020-06-10,8,Junior,Java,4.0,6.6
Lindsey,West,anna81@example.com,USA,2020-09-04,7,Mid,Data Engineering,9.5,4.7
Patricia,Jackson,stephanie14@example.com,Brazil,2023-07-21,8,Senior,Java,2.3,1.0
Daniel,Donovan,smithpatrick@example.org,Colombia,2021-09-24,8,Senior,Java,0.8,5.3
Deanna,Moore,zamorajennifer@example.org,Ecuador,2020-06-10,13,Junior,SQL,3.3,8.6
Richard,Brennan,jason62@example.com,Argentina,2022-08-12,2,Mid,JavaScript,1.1,4.9
Meredith,Daniels,jacobsonjeffery@example.net,USA,2023-12-26,3,Lead,Data Engineering,5.1,5.4
Lindsay,Crawford,simpsonanne@example.com,USA,2024-11-19,5,Lead,Python,0.6,5.7
Nicole,Lyons,burtonangela@example.com,Ecuador,2020-09-21,1,Mid,Java,0.7,5.6
Kristine,Harris,kimberly34@example.org,Ecuador,2020-09-02,1,Lead,Python,1.4,6.5
Anthony,Berry,cynthia78@example.net,Ecuador,2023-12-12,0,Junior,Data Engineering,3.2,1.3
Jason,Collins,farrelldaniel@example.com,Ecuador,2020-12-07,2,Junior,Python,7.2,0.7
Michele,Roach,tiffanybecker@example.net,Ecuador,2024-11-16,3,Lead,SQL,0.9,3.8
Timothy,Compton,sroberson@example.com,Ecuador,2024-08-30,6,Mid,Python,6.1,8.4
Steven,Ellis,gyang@example.com,Mexico,2023-12-15,12,Senior,SQL,3.4,9.3
Michael,Mason,kathryn52@example.org,Colombia,2024-04-24,7,Senior,C++,0.3,3.3
Nathan,Smith,johnsonmichael@example.org,Mexico,2022-04-06,12,Senior,C++,6.7,5.5
Douglas,Bryan,parrishmonica@example.net,Mexico,2022-04-25,12,Senior,SQL,7.7,4.4
Troy,Salazar,michael60@example.com,Ecuador,2024-06-18,0,Junior,C++,3.6,5.6
Jacob,Smith,michaelthompson@example.com,Colombia,2022-01-16,11,Mid,Python,7.6,4.5
Meagan,Hughes,trevinoashley@example.net,USA,2022-04-04,1,Mid,JavaScript,4.5,8.6
Michael,Herman,bryanhicks@example.net,Argentina,2024-08-11,14,Lead,Java,8.6,4.8
Stephen,Parker,guzmanjacqueline@example.org,Colombia,2023-07-22,9,Junior,Data Engineering,6.4,8.1
Timothy,Francis,cynthia26@example.org,USA,2021-10-10,4,Lead,SQL,4.5,2.4
Kevin,Woods,xhernandez@example.com,Colombia,2022-04-30,8,Mid,SQL,9.3,5.7
Donna,Carlson,peter42@example.org,Argentina,2024-03-02,4,Senior,JavaScript,4.7,3.0
Marissa,Hogan,thomasmelton@example.com,USA,2024-11-19,11,Junior,SQL,6.3,6.5
Lauren,Barnes,alexa79@example.com,Mexico,2021-07-08,10,Junior,Python,9.3,9.1
Christina,James,jeffreyrodriguez@example.org,Argentina,2020-10-18,4,Senior,Python,3.5,5.6
Leslie,Rogers,xbutler@example.net,Argentina,2024-08-07,5,Senior,Python,2.5,1.9
Michelle,Valenzuela,lmyers@example.net,Colombia,2023-05-20,7,Mid,Java,4.8,3.8
Edgar,Doyle,loganlindsey@example.com,Ecuador,2021-11-08,14,Senior,Data Engineering,0.8,8.4
Jamie,Henson,yatesjose@example.com,Colombia,2023-10-17,10,Junior,SQL,8.6,6.7
Laura,Thomas,sanchezashley@example.net,Brazil,2023-01-26,9,Senior,C++,3.9,6.8
Sean,Williams,hughesdanielle@example.org,Mexico,2021-11-08,14,Junior,JavaScript,0.7,8.2
Leonard,Lewis,owenschad@example.org,Ecuador,2020-09-15,1,Mid,Java,3.3,0.9
Thomas,Young,ccollins@example.org,Ecuador,2021-08-11,9,Lead,Data Engineering,8.5,8.4
Patricia,Roy,jasonlee@example.org,USA,2023-09-24,3,Lead,C++,2.2,8.9
Gordon,Garcia,walshmichael@example.com,Ecuador,2023-06-25,6,Lead,SQL,0.1,9.8
Frederick,Phillips,jcook@example.com,USA,2023-04-06,11,Mid,Python,3.2,7.0
Meghan,Alvarez,janet36@example.com,Argentina,2023-09-14,6,Lead,SQL,7.4,3.3
Ashley,Daniel,elizabeth96@example.net,Ecuador,2024-12-02,6,Mid,Python,9.3,3.8
Ashley,Richards,ibennett@example.net,Brazil,2023-06-17,5,Mid,C++,7.5,4.3
Matthew,Frank,zcraig@example.org,Ecuador,2020-10-09,3,Senior,SQL,5.4,3.9
Amanda,Harris,timothyhall@example.org,Mexico,2022-09-02,13,Junior,C++,7.4,8.7
Mary,Scott,lbrewer@example.org,Ecuador,2020-09-15,6,Lead,SQL,6.9,4.8
Wyatt,Smith,leenichols@example.net,USA,2022-07-22,13,Mid,C++,0.8,3.2
Scott,Marshall,ryanadams@example.com,Ecuador,2021-02-06,0,Senior,SQL,2.3,0.8
Stacy,Franklin,wlynch@example.net,Ecuador,2023-12-16,6,Mid,Data Engineering,9.6,1.3
Mason,Nash,stevenallen@example.net,Mexico,2021-12-29,0,Senior,C++,7.7,4.6
Holly,Schultz,masseyshawn@example.net,Colombia,2023-11-24,11,Lead,SQL,0.1,0.0
Edward,Carson,dylanmartinez@example.net,Colombia,2022-09-26,12,Senior,Data Engineering,5.3,4.7
Lindsay,Marquez,sharpamber@example.net,Ecuador,2022-12-13,12,Junior,C++,2.2,7.1
Dana,Gregory,nicholasjones@example.org,Colombia,2023-05-17,0,Lead,Python,3.1,2.1
Cole,Oneal,brittanyjoyce@example.com,USA,2023-05-03,11,Senior,Java,5.4,7.8
Nicole,King,michaelmosley@example.org,Mexico,2024-01-03,9,Lead,Python,1.7,1.3
William,Weaver,fhill@example.org,Mexico,2024-02-10,7,Lead,Java,1.6,8.1
Robert,White,woodscharles@example.com,Ecuador,2024-04-21,12,Lead,Java,1.1,4.1
Crystal,Lee,brianhart@example.com,Brazil,2023-01-21,12,Junior,SQL,1.0,5.5
Megan,Mitchell,mccarthydaniel@example.com,Argentina,2024-09-25,8,Lead,SQL,7.7,7.0
Joel,Garcia,carl02@example.net,Argentina,2022-07-31,0,Junior,Java,9.9,9.6
Jason,Moore,elizabethjones@example.com,Brazil,2021-07-14,7,Junior,Python,8.8,7.8
Richard,Holden,uschaefer@example.com,Brazil,2024-05-11,1,Mid,C++,8.1,8.8
Tracy,Peterson,brooke30@example.org,Brazil,2024-05-30,11,Mid,Python,6.9,5.4
William,Anderson,sreed@example.org,Colombia,2021-10-21,2,Senior,C++,6.7,6.9
Mark,West,brownkim@example.org,USA,2020-08-23,0,Mid,C++,1.5,8.6
Linda,Lee,choichristine@example.org,Ecuador,2020-09-10,6,Lead,Java,8.5,8.1
Debra,Wright,brianscott@example.org,Brazil,2022-01-05,14,Senior,JavaScript,3.0,6.7
Carrie,Carter,mholmes@example.com,Brazil,2022-09-01,6,Senior,C++,7.7,3.7
Jennifer,Henderson,lynnhiggins@example.net,Mexico,2024-11-07,13,Lead,Python,2.0,9.6
Jason,Gregory,kolson@example.com,Colombia,2021-10-31,0,Mid,Java,0.5,1.3
Mark,Page,jonesderrick@example.com,Argentina,2022-12-18,14,Mid,Python,6.0,7.2
William,Johnston,claytonanthony@example.com,Colombia,2020-09-05,5,Junior,Data Engineering,6.4,4.3
Stuart,Livingston,gadams@example.com,USA,2024-11-03,8,Lead,Python,2.1,0.9
Sherri,Roberts,donaldtorres@example.net,Argentina,2024-05-12,11,Lead,C++,7.0,0.7
Marcia,Frazier,fordkristen@example.org,USA,2020-02-18,14,Lead,Data Engineering,9.1,4.7
Yvette,Casey,rgutierrez@example.net,Brazil,2022-08-28,15,Mid,JavaScript,7.1,8.9
Karen,Gordon,kaitlin65@example.com,Argentina,2021-05-16,3,Mid,C++,1.8,0.4
Richard,Whitehead,michellerodgers@example.org,Ecuador,2023-03-19,5,Senior,C++,7.8,5.9
Steven,Mcclain,paige80@example.net,Colombia,2022-07-01,4,Senior,SQL,2.8,6.3
Tyrone,Manning,andersonkathryn@example.com,Colombia,2022-12-22,7,Senior,Java,8.0,2.1
Jonathon,Smith,matthewwells@example.net,Ecuador,2023-11-01,6,Lead,SQL,1.3,7.0
William,Gonzalez,yvonne94@example.net,Colombia,2022-07-17,15,Lead,Data Engineering,2.9,7.7
Kaitlyn,Greer,linda80@example.com,Mexico,2021-04-11,1,Mid,C++,3.9,0.4
Margaret,Glenn,jill13@example.net,USA,2023-05-12,2,Mid,Data Engineering,4.5,5.7
Ana,Curtis,robersonchristina@example.com,Colombia,2020-04-06,0,Mid,JavaScript,6.2,6.5
Jon,Hunter,colonelizabeth@example.com,Argentina,2020-05-20,0,Senior,Java,1.3,9.5
Scott,Hodges,kevin77@example.net,Ecuador,2023-12-01,15,Senior,JavaScript,6.8,7.3
Christine,Mckinney,charlotte69@example.com,Argentina,2021-04-11,10,Mid,Java,3.8,3.0
Steven,Atkins,mthomas@example.net,Argentina,2023-02-21,7,Lead,SQL,6.7,6.5
Jose,Miller,russoelizabeth@example.com,Colombia,2020-02-28,1,Senior,C++,6.7,9.9
Evan,Gentry,bmyers@example.net,Colombia,2023-05-09,13,Junior,JavaScript,1.7,3.9
Amanda,Johnson,anthony42@example.com,Colombia,2020-09-17,0,Junior,Java,2.6,6.6
Denise,Adams,elizabeth43@example.net,Argentina,2023-07-14,4,Senior,C++,8.8,9.4
Ashley,Brooks,mdixon@example.net,USA,2022-09-12,3,Junior,JavaScript,2.5,7.3
Shannon,Perez,daviseric@example.com,USA,2022-12-01,9,Lead,C++,5.2,6.5
Lisa,Walker,flambert@example.org,Mexico,2022-12-01,2,Junior,Python,0.8,8.7
Jerry,Vang,megan59@example.org,USA,2020-12-02,11,Lead,SQL,6.5,1.0
Christine,Mccarthy,jasonbowers@example.com,Argentina,2024-12-23,3,Senior,JavaScript,5.7,4.0
Abigail,Tate,hancockclinton@example.com,Ecuador,2021-04-05,15,Mid,JavaScript,7.5,8.5
Darryl,Cervantes,daltoncarter@example.org,Brazil,2020-11-27,10,Junior,Python,4.3,1.0
Kyle,Cole,jessica22@example.com,Argentina,2023-09-19,14,Mid,Java,6.7,6.3
Connie,Patel,ortegamatthew@example.org,Colombia,2024-07-21,13,Senior,Java,2.7,3.8
Luis,Richardson,alexanderjudith@example.org,Colombia,2020-07-10,5,Mid,JavaScript,4.7,9.0
Alan,Garcia,timothydavis@example.net,USA,2020-09-29,0,Lead,C++,6.5,5.7
Brian,Gomez,fieldsamy@example.net,Colombia,2023-12-28,9,Senior,C++,1.6,8.6
Mark,Christian,baileysharon@example.com,Brazil,2020-09-01,1,Senior,C++,9.3,2.4
Richard,Jackson,lisafox@example.com,Argentina,2024-06-04,12,Senior,Java,0.2,4.1
Kari,Wilson,vdunn@example.org,Mexico,2020-05-13,13,Senior,C++,8.9,2.1
Jennifer,Morales,adam64@example.com,Argentina,2021-12-30,11,Junior,SQL,3.9,7.1
Anthony,Nelson,ericallen@example.net,Brazil,2022-11-12,12,Lead,Java,0.7,2.4
Patrick,Nelson,wagnermatthew@example.org,Brazil,2022-12-16,5,Lead,C++,3.3,7.4
Theodore,Cohen,colleen74@example.net,Argentina,2022-06-11,3,Lead,Java,6.3,6.7
Tammy,Roth,jstout@example.net,Colombia,2020-05-08,11,Lead,Python,1.8,0.6
Jane,Marsh,gina67@example.com,Ecuador,2020-05-22,3,Mid,Data Engineering,1.9,4.2
Robert,Lee,rodgerslisa@example.org,USA,2020-02-10,4,Senior,Data Engineering,1.1,3.7
Sean,Martinez,ryan39@example.org,Colombia,2021-05-12,15,Mid,JavaScript,9.3,7.5
Jose,George,stevejones@example.org,Ecuador,2020-11-04,15,Junior,SQL,6.3,2.9
Donald,Warner,xjones@example.net,Argentina,2022-12-03,9,Junior,SQL,8.6,0.6
John,Collins,nataliezamora@example.net,USA,2024-06-08,6,Lead,Data Engineering,2.6,6.1
Mary,Griffin,kellytroy@example.com,Brazil,2020-12-03,8,Senior,SQL,5.8,9.3
Melinda,Tanner,fowlerchristopher@example.org,Colombia,2022-06-12,8,Lead,Python,7.0,7.5
Christopher,Armstrong,ustephenson@example.org,Colombia,2021-01-15,5,Junior,Python,8.8,9.5
Christopher,Smith,sheri07@example.net,Colombia,2021-06-13,5,Lead,Data Engineering,5.0,0.6
Patricia,Combs,berryjennifer@example.net,Argentina,2021-09-27,8,Junior,Python,5.0,7.3
Michelle,Smith,randystout@example.org,Ecuador,2021-12-19,11,Senior,Java,3.9,3.3
Angie,Jones,vfarmer@example.org,Mexico,2022-05-02,6,Lead,C++,3.0,8.6
James,Williams,lisastewart@example.org,Mexico,2021-06-13,15,Mid,SQL,0.1,1.6
Kimberly,Myers,wolftanya@example.net,Mexico,2020-12-25,5,Junior,JavaScript,6.2,5.9
Brad,Shea,cjohnson@example.org,Mexico,2023-11-15,0,Junior,Data Engineering,6.8,0.1
Sarah,Johnson,joshuawebb@example.org,Ecuador,2021-01-25,6,Mid,Java,9.8,5.2
Nicole,Patel,asimon@example.com,USA,2023-02-20,5,Mid,Data Engineering,4.7,1.7
Elizabeth,Lopez,millertina@example.com,Colombia,2021-12-06,4,Mid,Python,9.5,9.3
Jonathan,Fletcher,sonya48@example.net,Brazil,2024-06-20,10,Senior,Python,3.3,0.9
Grace,Erickson,nmurray@example.net,Mexico,2024-08-19,2,Lead,JavaScript,7.8,8.7
Theodore,Martinez,frazierdaniel@example.com,USA,2024-05-30,1,Junior,SQL,6.6,0.9
Monica,Collins,carla40@example.net,Argentina,2020-04-27,13,Junior,JavaScript,7.2,4.7
Jeanette,Vincent,ijackson@example.net,Brazil,2024-03-05,11,Junior,Data Engineering,2.0,4.6
Susan,Ward,derekbishop@example.org,Colombia,2023-01-17,8,Lead,C++,8.8,4.5
Megan,Schultz,amartin@example.net,Ecuador,2020-03-10,12,Mid,Python,0.3,4.4
Kenneth,Hernandez,coryburton@example.net,Brazil,2023-12-06,13,Junior,Data Engineering,3.6,0.7
Pamela,Maynard,medinakaren@example.net,Mexico,2020-06-21,13,Senior,Python,8.4,8.9
Christine,York,tiffany85@example.net,Colombia,2021-12-17,12,Junior,SQL,2.1,4.1
John,White,angelasullivan@example.org,Colombia,2021-03-09,1,Junior,JavaScript,2.8,5.6
Darren,Abbott,spencebilly@example.net,Brazil,2020-12-11,3,Junior,Python,7.7,7.8
Courtney,Baxter,walterdougherty@example.org,Argentina,2023-05-12,5,Junior,Data Engineering,5.8,8.4
Cynthia,Patton,jenniferfreeman@example.net,Brazil,2021-06-30,7,Junior,JavaScript,7.6,4.3
John,Pineda,rodriguezjoshua@example.org,Ecuador,2024-07-17,0,Lead,Java,1.6,0.2
Lisa,Yates,zhanson@example.org,Brazil,2021-10-21,4,Junior,C++,3.7,2.8
Scott,Shaw,michael75@example.com,Argentina,2021-04-11,14,Junior,Data Engineering,7.0,5.0
Michelle,Aguilar,thomasnicole@example.net,USA,2021-03-18,7,Mid,JavaScript,0.5,3.0
Eric,Guzman,ewilliams@example.net,Ecuador,2022-07-10,6,Mid,Java,4.2,5.1
Nathan,Taylor,jessicapugh@example.net,Colombia,2023-09-04,14,Junior,Python,4.7,2.9
Kristy,Pope,alvaradokaitlyn@example.com,Argentina,2020-06-09,4,Senior,JavaScript,5.8,5.2
Amanda,Lambert,laura81@example.org,Mexico,2023-03-06,9,Mid,Data Engineering,5.5,4.1
Vanessa,Kirby,eburns@example.org,Ecuador,2024-10-23,13,Mid,Java,6.3,4.7
Samuel,Hodges,corey27@example.net,Mexico,2021-10-15,6,Lead,C++,4.6,1.4
Anne,Simpson,jamesmills@example.org,Ecuador,2024-09-28,13,Senior,Data Engineering,3.0,6.6
Alicia,Davis,nicholasrasmussen@example.net,Colombia,2022-09-07,2,Senior,C++,8.7,0.9
Caleb,Black,alankelley@example.com,Brazil,2022-10-23,2,Mid,Python,2.7,2.9
Sarah,Young,amcdaniel@example.net,Mexico,2022-08-22,13,Senior,C++,4.0,3.4
Sheena,Bowman,rachel80@example.net,USA,2021-10-10,9,Mid,Python,5.5,6.7
Christopher,Bell,adamsheather@example.org,Brazil,2023-01-31,6,Mid,JavaScript,9.2,7.2
Tim,Ball,frostrobert@example.org,Colombia,2023-03-05,12,Junior,JavaScript,8.8,9.7
Timothy,Riley,laurie57@example.org,Ecuador,2020-03-22,5,Senior,SQL,1.6,3.4
Michelle,Green,jeremycunningham@example.com,Mexico,2020-09-08,13,Senior,JavaScript,9.5,5.2
Allen,Sanford,dhenderson@example.org,Argentina,2023-05-11,6,Junior,Python,5.4,5.7
Nicole,Martinez,david41@example.com,Mexico,2023-05-13,6,Mid,C++,5.4,2.0
Nancy,Shields,buchananleah@example.net,Brazil,2023-06-08,14,Senior,JavaScript,5.7,4.5
Michelle,Cline,tbrady@example.com,Argentina,2022-11-04,9,Junior,Java,3.6,3.6
Jackie,Austin,pleblanc@example.net,Mexico,2020-12-18,2,Junior,Python,4.3,7.5
Alicia,Dougherty,dbowman@example.net,Ecuador,2022-06-20,10,Lead,SQL,6.2,1.6
Tammy,Hendrix,jamesmark@example.org,Argentina,2021-03-04,2,Mid,Python,6.1,4.0
Timothy,Hines,lisagaines@example.net,USA,2023-08-17,12,Senior,JavaScript,3.0,7.7
Christina,Gomez,runderwood@example.net,Colombia,2022-01-13,12,Senior,JavaScript,5.2,3.5
Hayley,Ryan,kellihinton@example.net,Brazil,2023-03-20,14,Senior,SQL,7.4,1.4
Wesley,Bonilla,davissydney@example.net,Ecuador,2021-11-23,12,Junior,Python,6.3,7.6
Angelica,Lowery,bhamilton@example.org,USA,2021-09-03,15,Mid,JavaScript,9.6,4.9
Daniel,Hanna,mullenaaron@example.com,Argentina,2024-05-31,12,Senior,Java,1.8,3.5
Eric,Cooper,millerlauren@example.net,Argentina,2024-04-17,7,Senior,C++,5.9,2.2
Lori,Williams,annoliver@example.com,Mexico,2022-06-26,2,Junior,SQL,0.7,4.6
Beverly,Rose,linda89@example.com,Argentina,2024-11-20,0,Lead,JavaScript,4.8,7.6
Kathryn,Lee,davidclark@example.net,Colombia,2020-11-18,11,Senior,Python,2.8,3.8
Richard,Arnold,nmoore@example.com,Mexico,2022-04-20,9,Senior,JavaScript,5.4,9.0
Nicholas,Garcia,nneal@example.org,Brazil,2023-09-29,5,Mid,Python,10.0,3.0
Charles,Walsh,amy75@example.net,Colombia,2022-03-26,11,Mid,Data Engineering,6.0,8.1
Jennifer,Baker,tracy77@example.com,Argentina,2021-04-03,13,Mid,Java,0.6,5.2
